step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.001329e-03	8.532046e-04	2.989779e-02	
200	1.000000e-01	9.001356e-03	1.696422e-03	2.989774e-02	
300	1.000000e-01	9.001383e-03	2.556292e-03	2.989770e-02	
400	1.000000e-01	9.001410e-03	3.433229e-03	2.989765e-02	
500	1.000000e-01	9.001438e-03	4.327590e-03	2.989761e-02	
600	1.000000e-01	9.001467e-03	5.239728e-03	2.989756e-02	
700	1.000000e-01	9.001496e-03	6.170000e-03	2.989751e-02	
800	1.000000e-01	9.001526e-03	7.118772e-03	2.989746e-02	
900	1.000000e-01	9.001556e-03	8.086411e-03	2.989741e-02	
1000	1.000000e-01	9.001587e-03	9.073296e-03	2.989736e-02	
1100	1.000000e-01	9.001619e-03	1.007981e-02	2.989730e-02	
1200	1.000000e-01	9.001651e-03	1.110635e-02	2.989725e-02	
1300	1.000000e-01	9.001686e-03	1.215330e-02	2.989719e-02	
1400	1.000000e-01	9.001720e-03	1.322109e-02	2.989714e-02	
1500	1.000000e-01	9.001754e-03	1.431012e-02	2.989708e-02	
1600	1.000000e-01	9.001789e-03	1.542081e-02	2.989702e-02	
1700	1.000000e-01	9.001824e-03	1.655360e-02	2.989696e-02	
1800	1.000000e-01	9.001852e-03	1.770892e-02	2.989692e-02	
1900	1.000000e-01	9.001889e-03	1.888723e-02	2.989686e-02	
2000	1.000000e-01	9.001926e-03	2.008899e-02	2.989679e-02	
2100	1.000000e-01	9.001965e-03	2.131465e-02	2.989673e-02	
2200	1.000000e-01	9.002004e-03	2.256470e-02	2.989666e-02	
2300	1.000000e-01	9.002043e-03	2.383963e-02	2.989660e-02	
2400	1.000000e-01	9.002084e-03	2.513991e-02	2.989653e-02	
2500	1.000000e-01	9.002126e-03	2.646607e-02	2.989646e-02	
2600	1.000000e-01	9.002168e-03	2.781862e-02	2.989639e-02	
2700	1.000000e-01	9.002211e-03	2.919808e-02	2.989632e-02	
2800	1.000000e-01	9.002255e-03	3.060499e-02	2.989625e-02	
2900	1.000000e-01	9.002300e-03	3.203988e-02	2.989617e-02	
3000	1.000000e-01	9.002346e-03	3.350333e-02	2.989609e-02	
3100	1.000000e-01	9.002390e-03	3.499591e-02	2.989602e-02	
3200	1.000000e-01	9.002437e-03	3.651818e-02	2.989594e-02	
3300	1.000000e-01	9.002486e-03	3.807074e-02	2.989586e-02	
3400	1.000000e-01	9.002535e-03	3.965419e-02	2.989578e-02	
3500	1.000000e-01	9.002586e-03	4.126914e-02	2.989570e-02	
3600	1.000000e-01	9.002637e-03	4.291624e-02	2.989561e-02	
3700	1.000000e-01	9.002689e-03	4.459610e-02	2.989552e-02	
3800	1.000000e-01	9.002743e-03	4.630939e-02	2.989543e-02	
3900	1.000000e-01	9.002798e-03	4.805678e-02	2.989534e-02	
4000	1.000000e-01	9.002853e-03	4.983893e-02	2.989525e-02	
4100	1.000000e-01	9.002910e-03	5.165655e-02	2.989516e-02	
4200	1.000000e-01	9.002968e-03	5.351033e-02	2.989506e-02	
4300	1.000000e-01	9.003027e-03	5.540100e-02	2.989496e-02	
4400	1.000000e-01	9.003087e-03	5.732930e-02	2.989486e-02	
4500	1.000000e-01	9.003149e-03	5.929596e-02	2.989476e-02	
4600	1.000000e-01	9.003211e-03	6.130175e-02	2.989465e-02	
4700	1.000000e-01	9.003275e-03	6.334746e-02	2.989455e-02	
4800	1.000000e-01	9.003340e-03	6.543387e-02	2.989444e-02	
4900	1.000000e-01	9.003407e-03	6.756180e-02	2.989433e-02	
5000	1.000000e-01	9.003475e-03	6.973207e-02	2.989421e-02	
5100	1.000000e-01	9.003538e-03	7.194553e-02	2.989411e-02	
5200	1.000000e-01	9.003608e-03	7.420303e-02	2.989399e-02	
5300	1.000000e-01	9.003680e-03	7.650545e-02	2.989387e-02	
5400	1.000000e-01	9.003753e-03	7.885368e-02	2.989375e-02	
5500	1.000000e-01	9.003828e-03	8.124863e-02	2.989363e-02	
5600	1.000000e-01	9.003904e-03	8.369125e-02	2.989350e-02	
5700	1.000000e-01	9.003991e-03	8.618246e-02	2.989335e-02	
5800	1.000000e-01	9.004071e-03	8.872325e-02	2.989322e-02	
5900	1.000000e-01	9.004152e-03	9.131460e-02	2.989309e-02	
6000	1.000000e-01	9.004234e-03	9.395751e-02	2.989295e-02	
6100	1.000000e-01	9.004319e-03	9.665302e-02	2.989281e-02	
6200	1.000000e-01	9.004404e-03	9.940215e-02	2.989267e-02	
6300	1.000000e-01	9.004492e-03	1.022060e-01	2.989252e-02	
6400	1.000000e-01	9.004582e-03	1.050656e-01	2.989237e-02	
6500	1.000000e-01	9.004673e-03	1.079822e-01	2.989222e-02	
6600	1.000000e-01	9.004766e-03	1.109567e-01	2.989207e-02	
6700	1.000000e-01	9.004861e-03	1.139905e-01	2.989191e-02	
6800	1.000000e-01	9.004957e-03	1.170846e-01	2.989175e-02	
6900	1.000000e-01	9.005065e-03	1.202403e-01	2.989157e-02	
7000	1.000000e-01	9.005166e-03	1.234588e-01	2.989140e-02	
7100	1.000000e-01	9.005268e-03	1.267413e-01	2.989123e-02	
7200	1.000000e-01	9.005373e-03	1.300892e-01	2.989105e-02	
7300	1.000000e-01	9.005469e-03	1.335036e-01	2.989089e-02	
7400	1.000000e-01	9.005578e-03	1.369861e-01	2.989071e-02	
7500	1.000000e-01	9.005689e-03	1.405378e-01	2.989053e-02	
7600	1.000000e-01	9.005802e-03	1.441601e-01	2.989034e-02	
7700	1.000000e-01	9.005917e-03	1.478546e-01	2.989015e-02	
7800	1.000000e-01	9.006035e-03	1.516226e-01	2.988995e-02	
7900	1.000000e-01	9.006155e-03	1.554655e-01	2.988975e-02	
8000	1.000000e-01	9.006271e-03	1.593849e-01	2.988956e-02	
8100	1.000000e-01	9.006396e-03	1.633823e-01	2.988935e-02	
8200	1.000000e-01	9.006523e-03	1.674593e-01	2.988914e-02	
8300	1.000000e-01	9.006653e-03	1.716173e-01	2.988892e-02	
8400	1.000000e-01	9.006785e-03	1.758582e-01	2.988870e-02	
8500	1.000000e-01	9.006920e-03	1.801834e-01	2.988848e-02	
8600	1.000000e-01	9.007060e-03	1.845946e-01	2.988825e-02	
8700	1.000000e-01	9.007200e-03	1.890937e-01	2.988801e-02	
8800	1.000000e-01	9.007344e-03	1.936822e-01	2.988777e-02	
8900	1.000000e-01	9.007490e-03	1.983621e-01	2.988753e-02	
9000	1.000000e-01	9.007639e-03	2.031351e-01	2.988728e-02	
9100	1.000000e-01	9.007775e-03	2.080030e-01	2.988705e-02	
