step	cyano	ecw	
0	4.765019e-14	0.000000e+00	
100	4.844356e-14	0.000000e+00	
200	4.925015e-14	0.000000e+00	
300	5.007016e-14	0.000000e+00	
400	5.090383e-14	0.000000e+00	
500	5.175138e-14	0.000000e+00	
600	5.261304e-14	0.000000e+00	
700	5.348904e-14	0.000000e+00	
800	5.437963e-14	0.000000e+00	
900	5.528505e-14	0.000000e+00	
1000	5.620555e-14	0.000000e+00	
1100	5.714137e-14	0.000000e+00	
1200	5.809277e-14	0.000000e+00	
1300	5.906002e-14	0.000000e+00	
1400	6.004337e-14	0.000000e+00	
1500	6.104309e-14	0.000000e+00	
1600	6.205945e-14	0.000000e+00	
1700	6.309274e-14	0.000000e+00	
1800	6.414323e-14	0.000000e+00	
1900	6.521122e-14	0.000000e+00	
2000	6.629698e-14	0.000000e+00	
2100	6.740083e-14	0.000000e+00	
2200	6.852305e-14	0.000000e+00	
2300	6.966395e-14	0.000000e+00	
2400	7.082386e-14	0.000000e+00	
2500	7.200307e-14	0.000000e+00	
2600	7.320192e-14	0.000000e+00	
2700	7.442073e-14	0.000000e+00	
2800	7.565983e-14	0.000000e+00	
2900	7.691957e-14	0.000000e+00	
3000	7.820028e-14	0.000000e+00	
3100	7.950231e-14	0.000000e+00	
3200	8.082602e-14	0.000000e+00	
3300	8.217177e-14	0.000000e+00	
3400	8.353993e-14	0.000000e+00	
3500	8.493087e-14	0.000000e+00	
3600	8.634496e-14	0.000000e+00	
3700	8.778260e-14	0.000000e+00	
3800	8.924418e-14	0.000000e+00	
3900	9.073009e-14	0.000000e+00	
4000	9.224074e-14	0.000000e+00	
4100	9.377655e-14	0.000000e+00	
4200	9.533793e-14	0.000000e+00	
4300	9.692530e-14	0.000000e+00	
4400	9.853910e-14	0.000000e+00	
4500	1.001798e-13	0.000000e+00	
4600	1.018478e-13	0.000000e+00	
4700	1.035435e-13	0.000000e+00	
4800	1.052675e-13	0.000000e+00	
4900	1.070202e-13	0.000000e+00	
5000	1.088021e-13	0.000000e+00	
5100	1.106136e-13	0.000000e+00	
5200	1.124554e-13	0.000000e+00	
5300	1.143277e-13	0.000000e+00	
5400	1.162313e-13	0.000000e+00	
5500	1.181665e-13	0.000000e+00	
5600	1.201340e-13	0.000000e+00	
5700	1.221342e-13	0.000000e+00	
5800	1.241678e-13	0.000000e+00	
5900	1.262351e-13	0.000000e+00	
6000	1.283369e-13	0.000000e+00	
6100	1.304738e-13	0.000000e+00	
6200	1.326461e-13	0.000000e+00	
6300	1.348547e-13	0.000000e+00	
6400	1.371000e-13	0.000000e+00	
6500	1.393827e-13	0.000000e+00	
6600	1.417034e-13	0.000000e+00	
6700	1.440628e-13	0.000000e+00	
6800	1.464614e-13	0.000000e+00	
6900	1.489000e-13	0.000000e+00	
7000	1.513792e-13	0.000000e+00	
7100	1.538996e-13	0.000000e+00	
7200	1.564620e-13	0.000000e+00	
7300	1.590671e-13	0.000000e+00	
7400	1.617156e-13	0.000000e+00	
7500	1.644081e-13	0.000000e+00	
7600	1.671455e-13	0.000000e+00	
7700	1.699285e-13	0.000000e+00	
7800	1.727578e-13	0.000000e+00	
7900	1.756342e-13	0.000000e+00	
8000	1.785585e-13	0.000000e+00	
8100	1.815314e-13	0.000000e+00	
8200	1.845539e-13	0.000000e+00	
8300	1.876267e-13	0.000000e+00	
8400	1.907507e-13	0.000000e+00	
8500	1.939267e-13	0.000000e+00	
8600	1.971555e-13	0.000000e+00	
8700	2.004382e-13	0.000000e+00	
8800	2.037754e-13	0.000000e+00	
8900	2.071683e-13	0.000000e+00	
9000	2.106176e-13	0.000000e+00	
9100	2.141244e-13	0.000000e+00	
9200	2.176895e-13	0.000000e+00	
9300	2.213140e-13	0.000000e+00	
9400	2.249989e-13	0.000000e+00	
9500	2.287451e-13	0.000000e+00	
9600	2.325537e-13	0.000000e+00	
9700	2.364257e-13	0.000000e+00	
9800	2.403621e-13	0.000000e+00	
9900	2.443641e-13	0.000000e+00	
10000	2.484328e-13	0.000000e+00	
