step	cyano	ecw	
0	50	0	
100	50	0	
200	50	0	
300	50	0	
400	50	0	
500	53	0	
600	54	0	
700	54	0	
800	54	0	
900	54	0	
1000	54	0	
1100	56	0	
1200	56	0	
1300	57	0	
1400	59	0	
1500	60	0	
1600	60	0	
1700	60	0	
1800	60	0	
1900	61	0	
2000	62	0	
2100	62	0	
2200	62	0	
2300	63	0	
2400	63	0	
2500	66	0	
2600	69	0	
2700	70	0	
2800	71	0	
2900	71	0	
3000	72	0	
3100	73	0	
3200	74	0	
3300	75	0	
3400	76	0	
3500	76	0	
3600	77	0	
3700	77	0	
3800	80	0	
3900	80	0	
4000	80	0	
4100	80	0	
4200	82	0	
4300	82	0	
4400	83	0	
4500	87	0	
4600	91	0	
4700	92	0	
4800	92	0	
4900	93	0	
5000	99	0	
5100	100	0	
5200	102	0	
5300	103	0	
5400	106	0	
5500	108	0	
5600	110	0	
5700	111	0	
5800	113	0	
5900	113	0	
6000	116	0	
6100	117	0	
6200	118	0	
6300	121	0	
6400	123	0	
6500	126	0	
6600	128	0	
6700	128	0	
6800	131	0	
6900	137	0	
7000	139	0	
7100	139	0	
7200	139	0	
7300	140	0	
7400	144	0	
7500	145	0	
7600	147	0	
7700	149	0	
7800	151	0	
7900	155	0	
8000	159	0	
8100	162	0	
8200	166	0	
8300	168	0	
8400	169	0	
8500	170	0	
8600	173	0	
8700	177	0	
8800	181	0	
8900	184	0	
9000	188	0	
9100	189	0	
9200	193	0	
9300	197	0	
9400	203	0	
9500	205	0	
9600	210	0	
9700	213	0	
9800	217	0	
9900	221	0	
10000	223	0	
