step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000337e-03	1.422508e-06	2.989944e-02	
200	1.000000e-01	9.000343e-03	3.802477e-06	2.989943e-02	
300	1.000000e-01	9.000350e-03	7.465109e-06	2.989942e-02	
400	1.000000e-01	9.000357e-03	1.310529e-05	2.989941e-02	
500	1.000000e-01	9.000363e-03	2.181722e-05	2.989939e-02	
600	1.000000e-01	9.000370e-03	3.535506e-05	2.989938e-02	
700	1.000000e-01	9.000378e-03	5.661364e-05	2.989937e-02	
800	1.000000e-01	9.000385e-03	9.063045e-05	2.989936e-02	
900	1.000000e-01	9.000392e-03	1.444436e-04	2.989935e-02	
1000	1.000000e-01	9.000400e-03	2.269415e-04	2.989933e-02	
1100	1.000000e-01	9.000408e-03	3.584012e-04	2.989932e-02	
1200	1.000000e-01	9.000415e-03	5.682511e-04	2.989931e-02	
1300	1.000000e-01	9.000423e-03	8.263719e-04	2.989929e-02	
1400	1.000000e-01	9.000432e-03	1.120803e-03	2.989928e-02	
1500	1.000000e-01	9.000440e-03	1.445229e-03	2.989927e-02	
1600	1.000000e-01	9.000449e-03	1.796048e-03	2.989925e-02	
1700	1.000000e-01	9.000457e-03	2.171602e-03	2.989924e-02	
1800	1.000000e-01	9.000466e-03	2.570024e-03	2.989922e-02	
1900	1.000000e-01	9.000475e-03	2.990344e-03	2.989921e-02	
2000	1.000000e-01	9.000484e-03	3.431892e-03	2.989919e-02	
2100	1.000000e-01	9.000494e-03	3.894215e-03	2.989918e-02	
2200	1.000000e-01	9.000503e-03	4.376974e-03	2.989916e-02	
2300	1.000000e-01	9.000513e-03	4.880043e-03	2.989915e-02	
2400	1.000000e-01	9.000523e-03	5.403300e-03	2.989913e-02	
2500	1.000000e-01	9.000533e-03	5.946735e-03	2.989911e-02	
2600	1.000000e-01	9.000543e-03	6.510930e-03	2.989910e-02	
2700	1.000000e-01	9.000554e-03	7.095444e-03	2.989908e-02	
2800	1.000000e-01	9.000565e-03	7.700394e-03	2.989906e-02	
2900	1.000000e-01	9.000574e-03	8.316474e-03	2.989905e-02	
3000	1.000000e-01	9.000585e-03	8.952628e-03	2.989903e-02	
3100	1.000000e-01	9.000596e-03	9.609103e-03	2.989901e-02	
3200	1.000000e-01	9.000607e-03	1.028602e-02	2.989899e-02	
3300	1.000000e-01	9.000619e-03	1.098372e-02	2.989897e-02	
3400	1.000000e-01	9.000631e-03	1.170236e-02	2.989895e-02	
3500	1.000000e-01	9.000643e-03	1.244232e-02	2.989893e-02	
3600	1.000000e-01	9.000656e-03	1.320379e-02	2.989891e-02	
3700	1.000000e-01	9.000668e-03	1.398725e-02	2.989889e-02	
3800	1.000000e-01	9.000681e-03	1.479281e-02	2.989887e-02	
3900	1.000000e-01	9.000694e-03	1.562093e-02	2.989884e-02	
4000	1.000000e-01	9.000708e-03	1.647192e-02	2.989882e-02	
4100	1.000000e-01	9.000722e-03	1.734695e-02	2.989880e-02	
4200	1.000000e-01	9.000736e-03	1.824558e-02	2.989878e-02	
4300	1.000000e-01	9.000750e-03	1.916824e-02	2.989875e-02	
4400	1.000000e-01	9.000765e-03	2.012991e-02	2.989873e-02	
4500	1.000000e-01	9.000780e-03	2.111705e-02	2.989870e-02	
4600	1.000000e-01	9.000795e-03	2.213021e-02	2.989868e-02	
4700	1.000000e-01	9.000810e-03	2.316964e-02	2.989865e-02	
4800	1.000000e-01	9.000825e-03	2.423622e-02	2.989863e-02	
4900	1.000000e-01	9.000841e-03	2.533021e-02	2.989860e-02	
5000	1.000000e-01	9.000857e-03	2.645202e-02	2.989857e-02	
5100	1.000000e-01	9.000874e-03	2.760188e-02	2.989855e-02	
5200	1.000000e-01	9.000892e-03	2.878102e-02	2.989851e-02	
5300	1.000000e-01	9.000910e-03	2.998967e-02	2.989849e-02	
5400	1.000000e-01	9.000927e-03	3.122820e-02	2.989846e-02	
5500	1.000000e-01	9.000946e-03	3.249759e-02	2.989843e-02	
5600	1.000000e-01	9.000964e-03	3.379799e-02	2.989840e-02	
5700	1.000000e-01	9.000982e-03	3.512998e-02	2.989836e-02	
5800	1.000000e-01	9.001001e-03	3.649411e-02	2.989833e-02	
5900	1.000000e-01	9.001021e-03	3.789098e-02	2.989830e-02	
6000	1.000000e-01	9.001045e-03	3.932065e-02	2.989826e-02	
6100	1.000000e-01	9.001065e-03	4.078384e-02	2.989823e-02	
6200	1.000000e-01	9.001085e-03	4.228150e-02	2.989819e-02	
6300	1.000000e-01	9.001106e-03	4.381448e-02	2.989816e-02	
6400	1.000000e-01	9.001128e-03	4.538362e-02	2.989812e-02	
6500	1.000000e-01	9.001150e-03	4.700844e-02	2.989809e-02	
6600	1.000000e-01	9.001174e-03	4.867209e-02	2.989804e-02	
6700	1.000000e-01	9.001197e-03	5.037454e-02	2.989801e-02	
6800	1.000000e-01	9.001220e-03	5.211675e-02	2.989797e-02	
6900	1.000000e-01	9.001246e-03	5.389959e-02	2.989792e-02	
7000	1.000000e-01	9.001270e-03	5.572344e-02	2.989788e-02	
7100	1.000000e-01	9.001295e-03	5.758928e-02	2.989784e-02	
7200	1.000000e-01	9.001322e-03	5.949801e-02	2.989780e-02	
7300	1.000000e-01	9.001348e-03	6.145002e-02	2.989776e-02	
7400	1.000000e-01	9.001374e-03	6.344946e-02	2.989771e-02	
7500	1.000000e-01	9.001400e-03	6.549450e-02	2.989767e-02	
7600	1.000000e-01	9.001428e-03	6.758621e-02	2.989762e-02	
7700	1.000000e-01	9.001455e-03	6.972505e-02	2.989758e-02	
7800	1.000000e-01	9.001483e-03	7.191173e-02	2.989753e-02	
7900	1.000000e-01	9.001512e-03	7.414770e-02	2.989748e-02	
8000	1.000000e-01	9.001541e-03	7.643331e-02	2.989743e-02	
8100	1.000000e-01	9.001571e-03	7.877008e-02	2.989738e-02	
8200	1.000000e-01	9.001601e-03	8.115859e-02	2.989733e-02	
8300	1.000000e-01	9.001632e-03	8.359990e-02	2.989728e-02	
