step	cyano	ecw	
0	100	0	
100	100	0	
200	100	0	
300	100	0	
400	102	0	
500	103	0	
600	106	0	
700	109	0	
800	112	0	
900	112	0	
1000	112	0	
1100	114	0	
1200	116	0	
1300	117	0	
1400	121	0	
1500	125	0	
1600	126	0	
1700	129	0	
1800	130	0	
1900	132	0	
2000	134	0	
2100	136	0	
2200	137	0	
2300	140	0	
2400	142	0	
2500	145	0	
2600	147	0	
2700	149	0	
2800	150	0	
2900	152	0	
3000	152	0	
3100	153	0	
3200	153	0	
3300	153	0	
3400	155	0	
3500	156	0	
3600	157	0	
3700	157	0	
3800	160	0	
3900	165	0	
4000	168	0	
4100	170	0	
4200	177	0	
4300	180	0	
4400	185	0	
4500	188	0	
4600	192	0	
4700	198	0	
4800	206	0	
4900	212	0	
5000	215	0	
5100	215	0	
5200	218	0	
5300	228	0	
5400	235	0	
5500	238	0	
5600	242	0	
5700	245	0	
5800	253	0	
5900	256	0	
6000	264	0	
6100	266	0	
6200	270	0	
6300	274	0	
6400	275	0	
6500	280	0	
6600	284	0	
6700	286	0	
6800	289	0	
6900	296	0	
7000	301	0	
7100	304	0	
7200	308	0	
7300	311	0	
7400	315	0	
7500	317	0	
7600	323	0	
7700	330	0	
7800	334	0	
7900	338	0	
8000	344	0	
8100	348	0	
8200	358	0	
8300	364	0	
8400	373	0	
8500	379	0	
8600	383	0	
8700	396	0	
