step	cyano	ecw	
0	4.441649e-14	0.000000e+00	
100	4.531836e-14	0.000000e+00	
200	4.623854e-14	0.000000e+00	
300	4.717741e-14	0.000000e+00	
400	4.813534e-14	0.000000e+00	
500	4.911272e-14	0.000000e+00	
600	5.010995e-14	0.000000e+00	
700	5.112743e-14	0.000000e+00	
800	5.216557e-14	0.000000e+00	
900	5.322478e-14	0.000000e+00	
1000	5.430550e-14	0.000000e+00	
1100	5.540817e-14	0.000000e+00	
1200	5.653323e-14	0.000000e+00	
1300	5.768113e-14	0.000000e+00	
1400	5.885234e-14	0.000000e+00	
1500	6.004733e-14	0.000000e+00	
1600	6.126658e-14	0.000000e+00	
1700	6.251059e-14	0.000000e+00	
1800	6.377986e-14	0.000000e+00	
1900	6.507490e-14	0.000000e+00	
2000	6.639624e-14	0.000000e+00	
2100	6.774441e-14	0.000000e+00	
2200	6.911995e-14	0.000000e+00	
2300	7.052342e-14	0.000000e+00	
2400	7.195539e-14	0.000000e+00	
2500	7.341644e-14	0.000000e+00	
2600	7.490715e-14	0.000000e+00	
2700	7.642813e-14	0.000000e+00	
2800	7.797999e-14	0.000000e+00	
2900	7.956337e-14	0.000000e+00	
3000	8.117889e-14	0.000000e+00	
3100	8.282722e-14	0.000000e+00	
3200	8.450902e-14	0.000000e+00	
3300	8.622496e-14	0.000000e+00	
3400	8.797575e-14	0.000000e+00	
3500	8.976209e-14	0.000000e+00	
3600	9.158469e-14	0.000000e+00	
3700	9.344431e-14	0.000000e+00	
3800	9.534169e-14	0.000000e+00	
3900	9.727759e-14	0.000000e+00	
4000	9.925280e-14	0.000000e+00	
4100	1.012681e-13	0.000000e+00	
4200	1.033243e-13	0.000000e+00	
4300	1.054223e-13	0.000000e+00	
4400	1.075629e-13	0.000000e+00	
4500	1.097470e-13	0.000000e+00	
4600	1.119754e-13	0.000000e+00	
4700	1.142490e-13	0.000000e+00	
4800	1.165688e-13	0.000000e+00	
4900	1.189357e-13	0.000000e+00	
5000	1.213507e-13	0.000000e+00	
5100	1.238147e-13	0.000000e+00	
5200	1.263288e-13	0.000000e+00	
5300	1.288939e-13	0.000000e+00	
5400	1.315110e-13	0.000000e+00	
5500	1.341814e-13	0.000000e+00	
5600	1.369059e-13	0.000000e+00	
5700	1.396857e-13	0.000000e+00	
5800	1.425220e-13	0.000000e+00	
5900	1.454159e-13	0.000000e+00	
6000	1.483686e-13	0.000000e+00	
6100	1.513812e-13	0.000000e+00	
6200	1.544550e-13	0.000000e+00	
6300	1.575912e-13	0.000000e+00	
6400	1.607910e-13	0.000000e+00	
6500	1.640559e-13	0.000000e+00	
6600	1.673870e-13	0.000000e+00	
6700	1.707858e-13	0.000000e+00	
6800	1.742535e-13	0.000000e+00	
6900	1.777917e-13	0.000000e+00	
7000	1.814018e-13	0.000000e+00	
7100	1.850851e-13	0.000000e+00	
7200	1.888432e-13	0.000000e+00	
7300	1.926777e-13	0.000000e+00	
7400	1.965900e-13	0.000000e+00	
7500	2.005817e-13	0.000000e+00	
7600	2.046545e-13	0.000000e+00	
7700	2.088100e-13	0.000000e+00	
7800	2.130498e-13	0.000000e+00	
7900	2.173758e-13	0.000000e+00	
8000	2.217896e-13	0.000000e+00	
8100	2.262930e-13	0.000000e+00	
8200	2.308878e-13	0.000000e+00	
8300	2.355759e-13	0.000000e+00	
8400	2.403593e-13	0.000000e+00	
8500	2.452397e-13	0.000000e+00	
8600	2.502193e-13	0.000000e+00	
8700	2.553000e-13	0.000000e+00	
8800	2.604838e-13	0.000000e+00	
8900	2.657729e-13	0.000000e+00	
9000	2.711694e-13	0.000000e+00	
9100	2.766754e-13	0.000000e+00	
9200	2.822933e-13	0.000000e+00	
9300	2.880252e-13	0.000000e+00	
9400	2.938735e-13	0.000000e+00	
9500	2.998406e-13	0.000000e+00	
9600	3.059288e-13	0.000000e+00	
9700	3.121406e-13	0.000000e+00	
9800	3.184786e-13	0.000000e+00	
9900	3.249452e-13	0.000000e+00	
10000	3.315432e-13	0.000000e+00	
