step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000759e-03	3.680478e-02	2.989874e-02	
200	1.000000e-01	9.000769e-03	7.291511e-02	2.989872e-02	
300	1.000000e-01	9.000779e-03	1.094689e-01	2.989870e-02	
400	1.000000e-01	9.000789e-03	1.464753e-01	2.989869e-02	
500	1.000000e-01	9.000799e-03	1.839415e-01	2.989867e-02	
600	1.000000e-01	9.000810e-03	2.218744e-01	2.989865e-02	
700	1.000000e-01	9.000820e-03	2.602810e-01	2.989863e-02	
800	1.000000e-01	9.000831e-03	2.991683e-01	2.989861e-02	
900	1.000000e-01	9.000842e-03	3.385432e-01	2.989860e-02	
1000	1.000000e-01	9.000853e-03	3.784127e-01	2.989858e-02	
1100	1.000000e-01	9.000865e-03	4.187839e-01	2.989856e-02	
1200	1.000000e-01	9.000876e-03	4.596641e-01	2.989854e-02	
1300	1.000000e-01	9.000888e-03	5.010603e-01	2.989852e-02	
1400	1.000000e-01	9.000899e-03	5.429802e-01	2.989850e-02	
1500	1.000000e-01	9.000911e-03	5.854311e-01	2.989848e-02	
1600	1.000000e-01	9.000927e-03	6.284205e-01	2.989845e-02	
1700	1.000000e-01	9.000939e-03	6.719561e-01	2.989843e-02	
1800	1.000000e-01	9.000946e-03	7.160457e-01	2.989842e-02	
1900	1.000000e-01	9.000958e-03	7.606970e-01	2.989840e-02	
2000	1.000000e-01	9.000975e-03	8.059181e-01	2.989837e-02	
2100	1.000000e-01	9.000988e-03	8.517167e-01	2.989835e-02	
2200	1.000000e-01	9.001001e-03	8.981009e-01	2.989833e-02	
2300	1.000000e-01	9.001014e-03	9.450789e-01	2.989831e-02	
2400	1.000000e-01	9.001028e-03	9.926590e-01	2.989829e-02	
2500	1.000000e-01	9.001041e-03	1.040850e+00	2.989826e-02	
2600	1.000000e-01	9.001059e-03	1.089659e+00	2.989823e-02	
2700	1.000000e-01	9.001073e-03	1.139097e+00	2.989821e-02	
2800	1.000000e-01	9.001087e-03	1.189170e+00	2.989819e-02	
2900	1.000000e-01	9.001098e-03	1.239888e+00	2.989817e-02	
3000	1.000000e-01	9.001113e-03	1.291260e+00	2.989814e-02	
3100	1.000000e-01	9.001131e-03	1.343295e+00	2.989811e-02	
3200	1.000000e-01	9.001146e-03	1.396002e+00	2.989809e-02	
3300	1.000000e-01	9.001158e-03	1.449390e+00	2.989807e-02	
3400	1.000000e-01	9.001169e-03	1.503468e+00	2.989805e-02	
3500	1.000000e-01	9.001182e-03	1.558247e+00	2.989803e-02	
3600	1.000000e-01	9.001197e-03	1.613735e+00	2.989800e-02	
3700	1.000000e-01	9.001213e-03	1.669942e+00	2.989798e-02	
3800	1.000000e-01	9.001229e-03	1.726878e+00	2.989795e-02	
3900	1.000000e-01	9.001245e-03	1.784554e+00	2.989792e-02	
4000	1.000000e-01	9.001262e-03	1.842978e+00	2.989790e-02	
4100	1.000000e-01	9.001281e-03	1.902161e+00	2.989786e-02	
4200	1.000000e-01	9.001298e-03	1.962114e+00	2.989783e-02	
4300	1.000000e-01	9.001315e-03	2.022846e+00	2.989781e-02	
4400	1.000000e-01	9.001332e-03	2.084369e+00	2.989778e-02	
4500	1.000000e-01	9.001350e-03	2.146694e+00	2.989775e-02	
4600	1.000000e-01	9.001368e-03	2.209830e+00	2.989772e-02	
4700	1.000000e-01	9.001386e-03	2.273789e+00	2.989769e-02	
4800	1.000000e-01	9.001404e-03	2.338582e+00	2.989766e-02	
4900	1.000000e-01	9.001423e-03	2.404221e+00	2.989763e-02	
5000	1.000000e-01	9.001442e-03	2.470717e+00	2.989759e-02	
5100	1.000000e-01	9.001454e-03	2.538080e+00	2.989757e-02	
5200	1.000000e-01	9.001467e-03	2.606324e+00	2.989755e-02	
5300	1.000000e-01	9.001486e-03	2.675460e+00	2.989752e-02	
5400	1.000000e-01	9.001506e-03	2.745500e+00	2.989749e-02	
5500	1.000000e-01	9.001526e-03	2.816456e+00	2.989745e-02	
5600	1.000000e-01	9.001546e-03	2.888340e+00	2.989742e-02	
5700	1.000000e-01	9.001566e-03	2.961166e+00	2.989739e-02	
5800	1.000000e-01	9.001575e-03	3.034944e+00	2.989737e-02	
5900	1.000000e-01	9.001604e-03	3.109689e+00	2.989732e-02	
