step	cyano	ecw	
0	50	50	
100	50	83	
200	50	95	
300	50	95	
400	52	95	
500	52	95	
600	53	95	
700	53	95	
800	53	95	
900	54	95	
1000	57	95	
1100	58	95	
1200	59	95	
1300	60	95	
1400	60	95	
1500	62	95	
1600	63	95	
1700	64	95	
1800	66	95	
1900	66	95	
2000	66	95	
2100	68	95	
2200	69	95	
2300	70	96	
2400	70	96	
2500	71	96	
2600	71	96	
2700	73	96	
2800	73	96	
2900	73	96	
3000	73	96	
3100	73	96	
3200	73	96	
3300	73	96	
3400	73	96	
3500	74	96	
3600	74	96	
3700	75	96	
3800	76	97	
3900	77	98	
4000	77	98	
4100	78	98	
4200	80	100	
4300	80	100	
4400	82	100	
4500	82	100	
4600	85	102	
4700	85	102	
4800	85	103	
4900	88	104	
5000	91	105	
5100	93	105	
5200	95	105	
5300	95	107	
5400	97	107	
5500	98	108	
5600	101	110	
5700	102	111	
5800	106	111	
5900	106	111	
6000	106	113	
6100	109	113	
6200	111	114	
6300	111	115	
6400	113	116	
6500	113	117	
6600	115	117	
6700	117	117	
6800	117	119	
6900	117	119	
7000	119	119	
7100	120	119	
7200	122	121	
7300	122	121	
7400	125	122	
7500	127	124	
7600	128	124	
7700	132	124	
7800	133	125	
7900	135	125	
8000	137	125	
8100	138	125	
8200	139	126	
8300	140	127	
8400	142	127	
8500	143	128	
8600	146	128	
8700	149	130	
8800	149	131	
8900	153	132	
9000	159	134	
9100	160	134	
9200	163	134	
9300	164	134	
9400	164	137	
9500	165	139	
9600	169	141	
9700	169	141	
9800	171	144	
9900	171	146	
10000	174	146	
10100	175	147	
10200	180	150	
10300	184	151	
10400	189	152	
10500	190	152	
10600	192	154	
10700	196	157	
10800	197	157	
10900	199	159	
11000	201	160	
11100	202	162	
11200	204	164	
11300	208	167	
11400	212	168	
11500	213	169	
11600	213	170	
11700	221	172	
11800	224	172	
11900	227	173	
12000	231	176	
12100	235	180	
12200	236	180	
12300	240	180	
12400	243	180	
12500	248	181	
12600	251	183	
12700	252	185	
12800	255	186	
12900	258	187	
13000	259	188	
13100	263	188	
13200	269	189	
13300	269	192	
13400	272	193	
13500	275	195	
13600	280	199	
13700	283	201	
13800	288	203	
13900	295	205	
14000	299	208	
14100	302	208	
14200	305	214	
14300	308	216	
14400	313	219	
14500	317	219	
14600	321	223	
14700	325	226	
14800	328	228	
14900	334	231	
15000	338	235	
15100	345	241	
15200	348	244	
15300	352	247	
15400	355	250	
15500	362	252	
15600	363	254	
15700	372	257	
15800	376	259	
15900	384	260	
16000	389	261	
16100	399	263	
16200	403	264	
16300	409	268	
16400	416	270	
16500	421	273	
16600	424	277	
16700	428	278	
16800	434	280	
16900	437	283	
17000	443	287	
17100	447	289	
17200	451	298	
17300	459	303	
17400	469	306	
17500	473	311	
17600	476	313	
17700	479	315	
17800	489	321	
17900	498	322	
18000	508	323	
18100	513	326	
18200	525	328	
18300	532	328	
18400	537	330	
18500	546	331	
18600	549	339	
18700	555	345	
18800	565	347	
18900	574	352	
19000	583	359	
19100	589	365	
19200	592	369	
19300	601	374	
19400	608	375	
19500	613	378	
19600	625	383	
19700	631	385	
19800	643	388	
19900	644	393	
20000	653	401	
20100	660	407	
20200	672	410	
20300	677	416	
20400	685	419	
20500	692	427	
20600	708	436	
20700	721	440	
20800	730	445	
20900	739	450	
21000	745	455	
21100	756	459	
21200	769	467	
21300	776	468	
21400	789	473	
21500	797	478	
21600	814	482	
21700	824	487	
21800	835	498	
21900	845	505	
22000	859	510	
22100	870	519	
22200	886	524	
22300	896	527	
22400	902	535	
22500	912	539	
22600	926	546	
22700	939	555	
22800	954	559	
22900	966	566	
23000	978	569	
23100	988	577	
23200	1003	581	
23300	1017	588	
23400	1029	597	
23500	1047	606	
23600	1061	611	
23700	1074	615	
23800	1086	620	
23900	1097	627	
24000	1114	631	
24100	1128	642	
24200	1136	652	
24300	1163	657	
24400	1180	667	
24500	1190	679	
24600	1206	686	
24700	1221	694	
24800	1238	705	
24900	1255	719	
25000	1268	727	
25100	1286	740	
25200	1301	744	
25300	1320	753	
25400	1336	762	
25500	1350	767	
25600	1366	775	
25700	1391	784	
25800	1401	791	
25900	1419	801	
26000	1432	807	
26100	1456	818	
26200	1484	831	
26300	1497	848	
26400	1519	860	
26500	1549	871	
26600	1567	880	
26700	1588	891	
26800	1609	905	
26900	1635	908	
27000	1658	919	
27100	1674	927	
27200	1697	938	
27300	1718	947	
27400	1737	957	
27500	1767	975	
27600	1787	986	
27700	1813	997	
27800	1847	1010	
27900	1869	1021	
28000	1899	1037	
28100	1922	1052	
28200	1944	1062	
28300	1964	1078	
28400	1992	1089	
28500	2009	1104	
28600	2032	1116	
28700	2054	1126	
28800	2073	1140	
28900	2118	1150	
29000	2142	1158	
29100	2178	1177	
29200	2206	1190	
29300	2225	1206	
29400	2258	1223	
29500	2293	1239	
29600	2325	1256	
29700	2359	1269	
29800	2394	1287	
29900	2422	1299	
30000	2448	1316	
30100	2481	1331	
30200	2513	1344	
30300	2543	1363	
30400	2572	1386	
30500	2618	1407	
30600	2646	1428	
30700	2687	1445	
30800	2719	1461	
30900	2753	1474	
31000	2782	1502	
31100	2815	1521	
31200	2854	1537	
31300	2887	1555	
31400	2921	1582	
31500	2956	1601	
31600	2999	1622	
31700	3034	1637	
31800	3080	1650	
31900	3138	1675	
32000	3180	1684	
32100	3217	1703	
32200	3257	1723	
32300	3305	1744	
32400	3357	1769	
32500	3403	1791	
32600	3454	1814	
32700	3503	1834	
32800	3540	1856	
32900	3601	1882	
33000	3643	1908	
33100	3685	1927	
33200	3726	1950	
33300	3776	1974	
33400	3827	2004	
33500	3884	2036	
33600	3933	2062	
33700	3985	2086	
33800	4034	2108	
33900	4072	2138	
34000	4124	2166	
34100	4167	2194	
34200	4215	2223	
34300	4267	2248	
34400	4327	2275	
34500	4391	2306	
34600	4447	2330	
34700	4514	2353	
34800	4583	2383	
34900	4661	2421	
35000	4711	2456	
