step	cyano	ecw	
0	4.354189e-14	9.231745e-15	
100	4.411892e-14	9.228649e-15	
200	4.470359e-14	9.230133e-15	
300	4.529601e-14	9.236163e-15	
400	4.589628e-14	9.246702e-15	
500	4.650451e-14	9.261733e-15	
600	4.712080e-14	9.281234e-15	
700	4.774526e-14	9.305193e-15	
800	4.837799e-14	9.333611e-15	
900	4.901910e-14	9.366491e-15	
1000	4.966871e-14	9.403844e-15	
1100	5.032693e-14	9.445684e-15	
1200	5.099388e-14	9.492034e-15	
1300	5.166966e-14	9.542921e-15	
1400	5.235440e-14	9.598381e-15	
1500	5.304821e-14	9.658452e-15	
1600	5.375121e-14	9.723180e-15	
1700	5.446354e-14	9.792613e-15	
1800	5.518530e-14	9.866815e-15	
1900	5.591663e-14	9.945849e-15	
2000	5.665765e-14	1.002978e-14	
2100	5.740849e-14	1.011870e-14	
2200	5.816927e-14	1.021268e-14	
2300	5.894015e-14	1.031180e-14	
2400	5.972123e-14	1.041617e-14	
2500	6.051267e-14	1.052589e-14	
2600	6.131460e-14	1.064106e-14	
2700	6.212715e-14	1.076181e-14	
2800	6.295048e-14	1.088825e-14	
2900	6.378471e-14	1.102052e-14	
3000	6.463000e-14	1.115876e-14	
3100	6.548649e-14	1.130310e-14	
3200	6.635433e-14	1.145371e-14	
3300	6.723367e-14	1.161074e-14	
3400	6.812467e-14	1.177437e-14	
3500	6.902747e-14	1.194477e-14	
3600	6.994223e-14	1.212212e-14	
3700	7.086912e-14	1.230662e-14	
3800	7.180830e-14	1.249847e-14	
3900	7.275991e-14	1.269790e-14	
4000	7.372414e-14	1.290510e-14	
4100	7.470115e-14	1.312033e-14	
4200	7.569111e-14	1.334382e-14	
4300	7.669418e-14	1.357583e-14	
4400	7.771055e-14	1.381663e-14	
4500	7.874039e-14	1.406650e-14	
4600	7.978387e-14	1.432572e-14	
4700	8.084118e-14	1.459459e-14	
4800	8.191251e-14	1.487344e-14	
4900	8.299803e-14	1.516259e-14	
5000	8.409794e-14	1.546239e-14	
5100	8.521242e-14	1.577318e-14	
5200	8.634167e-14	1.609534e-14	
5300	8.748589e-14	1.642928e-14	
5400	8.864527e-14	1.677537e-14	
5500	8.982001e-14	1.713406e-14	
5600	9.101033e-14	1.750577e-14	
5700	9.221642e-14	1.789096e-14	
5800	9.343849e-14	1.829011e-14	
5900	9.467675e-14	1.870371e-14	
6000	9.593143e-14	1.913230e-14	
6100	9.720273e-14	1.957639e-14	
6200	9.849088e-14	2.003655e-14	
6300	9.979610e-14	2.051337e-14	
6400	1.011186e-13	2.100743e-14	
6500	1.024587e-13	2.151937e-14	
6600	1.038165e-13	2.204987e-14	
6700	1.051923e-13	2.259959e-14	
6800	1.065863e-13	2.316926e-14	
6900	1.079988e-13	2.375960e-14	
7000	1.094300e-13	2.437139e-14	
7100	1.108802e-13	2.500543e-14	
7200	1.123496e-13	2.566255e-14	
7300	1.138385e-13	2.634364e-14	
7400	1.153471e-13	2.704959e-14	
7500	1.168757e-13	2.778133e-14	
7600	1.184246e-13	2.853985e-14	
7700	1.199940e-13	2.932619e-14	
7800	1.215841e-13	3.014139e-14	
7900	1.231954e-13	3.098657e-14	
8000	1.248280e-13	3.186285e-14	
8100	1.264823e-13	3.277150e-14	
8200	1.281584e-13	3.371370e-14	
8300	1.298568e-13	3.469078e-14	
8400	1.315777e-13	3.570408e-14	
8500	1.333214e-13	3.675501e-14	
8600	1.350882e-13	3.784500e-14	
8700	1.368784e-13	3.897558e-14	
8800	1.386923e-13	4.014836e-14	
8900	1.405303e-13	4.136494e-14	
9000	1.423927e-13	4.262707e-14	
9100	1.442797e-13	4.393650e-14	
9200	1.461917e-13	4.529511e-14	
9300	1.481291e-13	4.670481e-14	
9400	1.500921e-13	4.816761e-14	
9500	1.520811e-13	4.968558e-14	
9600	1.540966e-13	5.126090e-14	
9700	1.561387e-13	5.289581e-14	
9800	1.582078e-13	5.459253e-14	
9900	1.603044e-13	5.635364e-14	
10000	1.624288e-13	5.818166e-14	
10100	1.645814e-13	6.007920e-14	
10200	1.667624e-13	6.204901e-14	
10300	1.689724e-13	6.409393e-14	
10400	1.712117e-13	6.621692e-14	
10500	1.734806e-13	6.842099e-14	
10600	1.757796e-13	7.070936e-14	
10700	1.781091e-13	7.308554e-14	
10800	1.804694e-13	7.555278e-14	
10900	1.828610e-13	7.811465e-14	
11000	1.852843e-13	8.077489e-14	
11100	1.877397e-13	8.353735e-14	
11200	1.902277e-13	8.640603e-14	
11300	1.927486e-13	8.938506e-14	
11400	1.953030e-13	9.247877e-14	
11500	1.978912e-13	9.569161e-14	
11600	2.005137e-13	9.902818e-14	
11700	2.031709e-13	1.024933e-13	
11800	2.058634e-13	1.060922e-13	
11900	2.085915e-13	1.098297e-13	
12000	2.113558e-13	1.137112e-13	
12100	2.141567e-13	1.177424e-13	
12200	2.169948e-13	1.219288e-13	
12300	2.198704e-13	1.262764e-13	
12400	2.227842e-13	1.307913e-13	
12500	2.257366e-13	1.354798e-13	
12600	2.287281e-13	1.403482e-13	
12700	2.317592e-13	1.454035e-13	
