step	cyano	ecw	
0	1	1	
100	1	2	
200	1	2	
300	1	2	
400	1	2	
500	1	2	
600	1	2	
700	1	2	
800	1	2	
900	1	2	
1000	1	2	
1100	1	2	
1200	1	2	
1300	1	2	
1400	1	2	
1500	1	2	
1600	1	2	
1700	1	2	
1800	1	2	
1900	1	2	
2000	1	2	
2100	1	2	
2200	1	2	
2300	1	2	
2400	1	2	
2500	1	2	
2600	1	2	
2700	1	2	
2800	1	2	
2900	1	2	
3000	1	2	
3100	1	2	
3200	1	2	
3300	1	2	
3400	1	2	
3500	1	2	
3600	1	2	
3700	1	2	
3800	1	2	
3900	1	2	
4000	1	2	
4100	1	2	
4200	1	2	
4300	1	2	
4400	1	2	
4500	1	2	
4600	1	2	
4700	1	2	
4800	1	2	
4900	1	2	
5000	1	2	
5100	1	2	
5200	1	2	
5300	1	2	
5400	1	2	
5500	1	2	
5600	1	2	
5700	1	2	
5800	1	2	
5900	2	2	
6000	2	2	
6100	2	2	
6200	2	2	
6300	2	2	
6400	2	2	
6500	2	2	
6600	2	2	
6700	2	2	
6800	2	2	
6900	2	2	
7000	2	2	
7100	2	2	
7200	2	2	
7300	2	2	
7400	2	2	
7500	2	2	
7600	2	2	
7700	2	2	
7800	2	2	
7900	2	2	
8000	2	2	
8100	2	2	
8200	2	2	
8300	2	2	
8400	2	2	
8500	2	2	
8600	2	2	
8700	2	2	
8800	2	2	
8900	2	2	
9000	3	2	
9100	3	2	
9200	3	2	
9300	3	2	
9400	3	2	
9500	3	2	
9600	3	2	
9700	3	2	
9800	3	2	
9900	3	2	
10000	3	2	
10100	3	2	
10200	3	2	
10300	3	2	
10400	3	2	
10500	3	2	
10600	4	2	
10700	4	2	
10800	4	2	
10900	4	2	
11000	4	2	
11100	4	2	
11200	4	2	
11300	4	2	
11400	4	2	
11500	4	2	
11600	4	2	
11700	4	2	
11800	4	2	
11900	4	2	
12000	4	2	
12100	4	2	
12200	4	2	
12300	4	2	
12400	4	2	
12500	4	2	
12600	5	2	
12700	5	2	
12800	5	2	
12900	5	2	
13000	5	2	
13100	6	2	
13200	6	2	
13300	6	2	
13400	6	2	
13500	7	2	
13600	7	2	
13700	7	2	
13800	7	2	
13900	7	2	
14000	7	2	
14100	7	2	
14200	7	2	
14300	7	2	
14400	7	2	
14500	7	2	
14600	7	2	
14700	7	2	
14800	7	2	
14900	7	2	
15000	7	2	
15100	7	2	
15200	7	2	
15300	7	2	
15400	7	2	
15500	8	2	
15600	8	2	
15700	9	2	
15800	9	2	
15900	9	2	
16000	9	2	
16100	9	2	
16200	9	2	
16300	9	2	
16400	9	2	
16500	9	2	
16600	9	2	
16700	10	2	
16800	10	2	
16900	11	2	
17000	11	2	
17100	11	2	
17200	12	2	
17300	13	2	
17400	13	2	
17500	13	2	
17600	13	2	
17700	13	2	
17800	14	2	
17900	14	2	
18000	14	2	
18100	14	2	
18200	14	2	
18300	14	2	
18400	14	2	
18500	15	2	
18600	15	2	
18700	15	2	
18800	15	2	
18900	15	2	
19000	15	2	
19100	15	2	
19200	16	2	
19300	16	2	
19400	16	2	
19500	16	2	
19600	16	2	
19700	16	2	
19800	16	2	
19900	16	2	
20000	17	2	
20100	17	2	
20200	19	2	
20300	19	2	
20400	21	2	
20500	21	2	
20600	22	2	
20700	22	2	
20800	22	2	
20900	23	2	
21000	24	2	
21100	24	2	
21200	24	2	
21300	24	2	
21400	24	2	
21500	25	2	
21600	26	2	
21700	26	2	
21800	26	2	
21900	26	2	
22000	27	2	
22100	27	2	
22200	27	2	
22300	29	2	
22400	30	2	
22500	30	2	
22600	30	2	
22700	30	2	
22800	31	2	
22900	31	2	
23000	31	2	
23100	32	2	
23200	33	2	
23300	35	2	
23400	35	2	
23500	36	2	
23600	36	2	
23700	36	2	
23800	36	2	
23900	37	2	
24000	37	2	
24100	37	2	
24200	39	2	
24300	39	2	
24400	39	2	
24500	39	2	
24600	42	2	
24700	43	2	
24800	46	2	
24900	47	2	
25000	48	2	
25100	49	2	
25200	50	2	
25300	51	2	
25400	51	2	
25500	51	2	
25600	52	2	
25700	53	2	
25800	54	2	
25900	55	2	
26000	57	2	
26100	57	2	
26200	58	2	
26300	59	2	
26400	61	2	
26500	61	2	
26600	62	2	
26700	62	2	
26800	63	2	
26900	64	2	
27000	67	2	
27100	67	2	
27200	68	2	
27300	68	2	
27400	69	2	
27500	69	2	
27600	71	2	
27700	75	2	
27800	76	2	
27900	78	2	
28000	80	2	
28100	80	2	
28200	81	2	
28300	84	2	
28400	86	2	
28500	86	2	
28600	87	2	
28700	88	2	
28800	90	2	
28900	93	2	
29000	95	2	
29100	96	2	
29200	98	2	
29300	101	2	
29400	101	2	
29500	103	2	
29600	105	2	
29700	106	2	
29800	110	2	
29900	112	2	
30000	114	2	
30100	116	2	
30200	119	2	
30300	120	2	
30400	125	2	
30500	128	2	
30600	128	2	
30700	130	2	
30800	131	2	
30900	134	2	
31000	137	2	
31100	139	2	
31200	142	2	
31300	144	2	
31400	145	2	
31500	148	2	
31600	151	2	
31700	155	2	
31800	159	2	
31900	162	2	
32000	163	2	
32100	165	2	
32200	167	2	
32300	172	2	
32400	173	2	
32500	178	2	
32600	183	2	
32700	184	2	
32800	185	2	
32900	189	2	
33000	191	2	
33100	199	2	
33200	203	2	
33300	205	2	
33400	208	2	
33500	212	2	
33600	215	2	
33700	219	2	
33800	225	2	
33900	228	2	
34000	232	2	
34100	238	2	
34200	243	2	
34300	245	2	
34400	250	2	
34500	257	2	
34600	262	2	
34700	266	2	
34800	271	2	
34900	275	2	
35000	280	2	
