step	sub	o2	suc	co2	
0	1.000000e-01	9.000000e-03	3.420000e-20	2.990000e-02	
100	1.000000e-01	9.000001e-03	2.974041e-08	2.990000e-02	
200	1.000000e-01	9.000001e-03	1.227406e-07	2.990000e-02	
300	1.000000e-01	9.000001e-03	2.679228e-07	2.990000e-02	
400	1.000000e-01	9.000001e-03	4.352883e-07	2.990000e-02	
500	1.000000e-01	9.000001e-03	6.230193e-07	2.990000e-02	
600	1.000000e-01	9.000001e-03	8.296639e-07	2.990000e-02	
700	1.000000e-01	9.000001e-03	1.054064e-06	2.990000e-02	
800	1.000000e-01	9.000001e-03	1.295299e-06	2.990000e-02	
900	1.000000e-01	9.000001e-03	1.552629e-06	2.990000e-02	
1000	1.000000e-01	9.000001e-03	1.825456e-06	2.990000e-02	
1100	1.000000e-01	9.000001e-03	2.113301e-06	2.990000e-02	
1200	1.000000e-01	9.000001e-03	2.415766e-06	2.990000e-02	
1300	1.000000e-01	9.000001e-03	2.732533e-06	2.990000e-02	
1400	1.000000e-01	9.000001e-03	3.063344e-06	2.990000e-02	
1500	1.000000e-01	9.000001e-03	3.407991e-06	2.990000e-02	
1600	1.000000e-01	9.000001e-03	3.766311e-06	2.990000e-02	
1700	1.000000e-01	9.000001e-03	4.138171e-06	2.990000e-02	
1800	1.000000e-01	9.000001e-03	4.523476e-06	2.990000e-02	
1900	1.000000e-01	9.000001e-03	4.922155e-06	2.990000e-02	
2000	1.000000e-01	9.000001e-03	5.334161e-06	2.990000e-02	
2100	1.000000e-01	9.000001e-03	5.759469e-06	2.990000e-02	
2200	1.000000e-01	9.000001e-03	6.198069e-06	2.990000e-02	
2300	1.000000e-01	9.000001e-03	6.649974e-06	2.990000e-02	
2400	1.000000e-01	9.000001e-03	7.115210e-06	2.990000e-02	
2500	1.000000e-01	9.000001e-03	7.593815e-06	2.990000e-02	
2600	1.000000e-01	9.000001e-03	8.085841e-06	2.990000e-02	
2700	1.000000e-01	9.000001e-03	8.591350e-06	2.990000e-02	
2800	1.000000e-01	9.000001e-03	9.110424e-06	2.990000e-02	
