step	cyano	ecw	
0	5.202891e-16	1.394101e-16	
100	5.290659e-16	1.392909e-16	
200	5.379907e-16	1.391718e-16	
300	5.470660e-16	1.390529e-16	
400	5.562945e-16	1.389340e-16	
500	5.656786e-16	1.388152e-16	
600	5.752210e-16	1.386965e-16	
700	5.849244e-16	1.385779e-16	
800	5.947914e-16	1.384594e-16	
900	6.048250e-16	1.383410e-16	
1000	6.150277e-16	1.382228e-16	
1100	6.254026e-16	1.381046e-16	
1200	6.359525e-16	1.379865e-16	
1300	6.466804e-16	1.378685e-16	
1400	6.575892e-16	1.377507e-16	
1500	6.686821e-16	1.376329e-16	
1600	6.799621e-16	1.375152e-16	
1700	6.914323e-16	1.373977e-16	
1800	7.030961e-16	1.372802e-16	
1900	7.149566e-16	1.371628e-16	
2000	7.270172e-16	1.370456e-16	
2100	7.392812e-16	1.369284e-16	
2200	7.517521e-16	1.368114e-16	
2300	7.644334e-16	1.366944e-16	
2400	7.773286e-16	1.365775e-16	
2500	7.904413e-16	1.364608e-16	
2600	8.037753e-16	1.363441e-16	
2700	8.173341e-16	1.362276e-16	
2800	8.311217e-16	1.361111e-16	
2900	8.451419e-16	1.359948e-16	
3000	8.593986e-16	1.358785e-16	
3100	8.738957e-16	1.357624e-16	
3200	8.886374e-16	1.356463e-16	
3300	9.036278e-16	1.355303e-16	
3400	9.188711e-16	1.354145e-16	
3500	9.343715e-16	1.352987e-16	
3600	9.501334e-16	1.351831e-16	
3700	9.661612e-16	1.350675e-16	
3800	9.824593e-16	1.349521e-16	
3900	9.990324e-16	1.348367e-16	
4000	1.015885e-15	1.347215e-16	
4100	1.033022e-15	1.346063e-16	
4200	1.050448e-15	1.344913e-16	
4300	1.068168e-15	1.343763e-16	
4400	1.086187e-15	1.342615e-16	
4500	1.104510e-15	1.341467e-16	
4600	1.123142e-15	1.340321e-16	
4700	1.142088e-15	1.339175e-16	
4800	1.161354e-15	1.338031e-16	
4900	1.180945e-15	1.336887e-16	
5000	1.200866e-15	1.335745e-16	
5100	1.221123e-15	1.334603e-16	
5200	1.241722e-15	1.333463e-16	
5300	1.262669e-15	1.332323e-16	
5400	1.283969e-15	1.331185e-16	
5500	1.305628e-15	1.330047e-16	
5600	1.327653e-15	1.328911e-16	
5700	1.350049e-15	1.327775e-16	
5800	1.372823e-15	1.326640e-16	
5900	1.395981e-15	1.325507e-16	
6000	1.419530e-15	1.324374e-16	
6100	1.443476e-15	1.323243e-16	
6200	1.467826e-15	1.322112e-16	
6300	1.492586e-15	1.320982e-16	
6400	1.517765e-15	1.319854e-16	
6500	1.543368e-15	1.318726e-16	
6600	1.569403e-15	1.317599e-16	
6700	1.595877e-15	1.316474e-16	
6800	1.622798e-15	1.315349e-16	
6900	1.650173e-15	1.314225e-16	
7000	1.678010e-15	1.313103e-16	
7100	1.706316e-15	1.311981e-16	
7200	1.735100e-15	1.310860e-16	
7300	1.764369e-15	1.309740e-16	
7400	1.794132e-15	1.308621e-16	
7500	1.824397e-15	1.307504e-16	
7600	1.855173e-15	1.306387e-16	
7700	1.886468e-15	1.305271e-16	
7800	1.918291e-15	1.304156e-16	
7900	1.950650e-15	1.303042e-16	
8000	1.983556e-15	1.301929e-16	
8100	2.017016e-15	1.300817e-16	
8200	2.051041e-15	1.299706e-16	
8300	2.085640e-15	1.298596e-16	
8400	2.120823e-15	1.297487e-16	
8500	2.156599e-15	1.296379e-16	
8600	2.192979e-15	1.295272e-16	
8700	2.229972e-15	1.294166e-16	
8800	2.267589e-15	1.293061e-16	
8900	2.305841e-15	1.291957e-16	
9000	2.344738e-15	1.290854e-16	
9100	2.384292e-15	1.289752e-16	
9200	2.424512e-15	1.288650e-16	
9300	2.465411e-15	1.287550e-16	
9400	2.507000e-15	1.286451e-16	
9500	2.549291e-15	1.285353e-16	
9600	2.592294e-15	1.284255e-16	
9700	2.636024e-15	1.283159e-16	
9800	2.680491e-15	1.282064e-16	
9900	2.725708e-15	1.280969e-16	
10000	2.771688e-15	1.279876e-16	
10100	2.818443e-15	1.278784e-16	
10200	2.865988e-15	1.277692e-16	
10300	2.914334e-15	1.276602e-16	
10400	2.963496e-15	1.275512e-16	
10500	3.013487e-15	1.274424e-16	
10600	3.064321e-15	1.273336e-16	
10700	3.116013e-15	1.272250e-16	
